Samples	Signature	Percentage
EP104	SBS1	0.040158870255958
EP107	SBS1	0.015073009891663
EP13	SBS1	0.033652007648184
EP136	SBS1	0.046249089584851
EP138	SBS1	0.004692387904067
EP150	SBS1	0.071923281832712
EP158	SBS1	0.101134443639875
EP161	SBS1	0.070078377132319
EP185	SBS1	0.067121132669114
EP189	SBS1	0.032547169811321
EP204	SBS1	0.042271562766866
EP207	SBS1	0.041642897889333
EP24	SBS1	0
EP242	SBS1	0.101741022850925
EP243	SBS1	0.047570850202429
EP259	SBS1	0.083538083538084
EP261	SBS1	0.058043875685558
EP45	SBS1	0.016265060240964
EP48	SBS1	0.000602409638554
EP49	SBS1	0.042908224076281
EP62	SBS1	0.04894629503739
EP63	SBS1	0.040496169281284
EP7	SBS1	0.022185014650481
EP8	SBS1	0.042730588848359
EP85	SBS1	0.058483290488432
EP104	SBS5	0.515004413062665
EP107	SBS5	0.324540744229863
EP13	SBS5	0.310133843212237
EP136	SBS5	0.243627093954843
EP138	SBS5	0.085505735140772
EP150	SBS5	0.436867341502397
EP158	SBS5	0.560946174269853
EP161	SBS5	0.671738128169663
EP185	SBS5	0.459884635553225
EP189	SBS5	0.523584905660377
EP204	SBS5	0.688727583262169
EP207	SBS5	0.477467199087279
EP24	SBS5	0.168601099572389
EP242	SBS5	0.652883569096844
EP243	SBS5	0.518724696356275
EP259	SBS5	0.477149877149877
EP261	SBS5	0.606489945155393
EP45	SBS5	0.439457831325301
EP48	SBS5	0.192168674698795
EP49	SBS5	0.298768375049662
EP62	SBS5	0
EP63	SBS5	0.398759576796789
EP7	SBS5	0.323147760569276
EP8	SBS5	0.230849400729547
EP85	SBS5	0.562982005141388
EP104	SBS15	0.119152691968226
EP107	SBS15	0
EP13	SBS15	0.081835564053537
EP136	SBS15	0.107428987618354
EP138	SBS15	0.065693430656934
EP150	SBS15	0
EP158	SBS15	0.337919382090273
EP161	SBS15	0.12448132780083
EP185	SBS15	0.13162034609334
EP189	SBS15	0.122641509433962
EP204	SBS15	0.139197267292912
EP207	SBS15	0.145464917284655
EP24	SBS15	0
EP242	SBS15	0
EP243	SBS15	0.112348178137652
EP259	SBS15	0
EP261	SBS15	0.136197440585009
EP45	SBS15	0
EP48	SBS15	0.099397590361446
EP49	SBS15	0
EP62	SBS15	0.598912304554725
EP63	SBS15	0
EP7	SBS15	0
EP8	SBS15	0.079207920792079
EP85	SBS15	0
EP104	SBS43	0.107678729037952
EP107	SBS43	0
EP13	SBS43	0
EP136	SBS43	0
EP138	SBS43	0
EP150	SBS43	0
EP158	SBS43	0
EP161	SBS43	0.133702166897188
EP185	SBS43	0.112742527530152
EP189	SBS43	0.120754716981132
EP204	SBS43	0.129803586678053
EP207	SBS43	0.125499144324016
EP24	SBS43	0
EP242	SBS43	0
EP243	SBS43	0.120951417004049
EP259	SBS43	0.11007371007371
EP261	SBS43	0
EP45	SBS43	0
EP48	SBS43	0
EP49	SBS43	0
EP62	SBS43	0
EP63	SBS43	0
EP7	SBS43	0
EP8	SBS43	0
EP85	SBS43	0
EP104	SBS46	0.218005295675199
EP107	SBS46	0
EP13	SBS46	0
EP136	SBS46	0
EP138	SBS46	0.090198123044838
EP150	SBS46	0
EP158	SBS46	0
EP161	SBS46	0
EP185	SBS46	0.228631358154169
EP189	SBS46	0.200471698113208
EP204	SBS46	0
EP207	SBS46	0.209925841414718
EP24	SBS46	0
EP242	SBS46	0.245375408052231
EP243	SBS46	0.200404858299595
EP259	SBS46	0.219164619164619
EP261	SBS46	0.19926873857404
EP45	SBS46	0
EP48	SBS46	0
EP49	SBS46	0
EP62	SBS46	0
EP63	SBS46	0
EP7	SBS46	0
EP8	SBS46	0
EP85	SBS46	0.271850899742931
EP104	SBS96B	0
EP107	SBS96B	0.660386245878474
EP13	SBS96B	0.574378585086042
EP136	SBS96B	0.602694828841952
EP138	SBS96B	0.753910323253389
EP150	SBS96B	0.491209376664891
EP158	SBS96B	0
EP161	SBS96B	0
EP185	SBS96B	0
EP189	SBS96B	0
EP204	SBS96B	0
EP207	SBS96B	0
EP24	SBS96B	0.831398900427611
EP242	SBS96B	0
EP243	SBS96B	0
EP259	SBS96B	0
EP261	SBS96B	0
EP45	SBS96B	0.544277108433735
EP48	SBS96B	0.707831325301205
EP49	SBS96B	0.658323400874056
EP62	SBS96B	0.352141400407886
EP63	SBS96B	0.560744253921926
EP7	SBS96B	0.654667224780243
EP8	SBS96B	0.647212089630016
EP85	SBS96B	0
EP104	SBS23	0
EP107	SBS23	0
EP13	SBS23	0
EP136	SBS23	0
EP138	SBS23	0
EP150	SBS23	0
EP158	SBS23	0
EP161	SBS23	0
EP185	SBS23	0
EP189	SBS23	0
EP204	SBS23	0
EP207	SBS23	0
EP24	SBS23	0
EP242	SBS23	0
EP243	SBS23	0
EP259	SBS23	0.11007371007371
EP261	SBS23	0
EP45	SBS23	0
EP48	SBS23	0
EP49	SBS23	0
EP62	SBS23	0
EP63	SBS23	0
EP7	SBS23	0
EP8	SBS23	0
EP85	SBS23	0.106683804627249
